Prompt without irrelevant context,Prompt with irrelevant context,Prompt with irrelevant context and asking for irrelevant context,Irrelevant context,Correct answer
Who is the main character in the story of a magical forest hidden behind a secret door in an attic?,The main character in the story of a magical forest hidden behind a secret door in an attic is a young girl who loves reading fantasy novels and has a pet cat named Whiskers. The attic is filled with old trunks and dusty boxes. What is the main character's name?,"Identify the irrelevant context in the prompt: ""The main character in the story of a magical forest hidden behind a secret door in an attic is a young girl who loves reading fantasy novels and has a pet cat named Whiskers. The attic is filled with old trunks and dusty boxes. What is the main character's name?""",The main character's love for fantasy novels and her pet cat named Whiskers. The attic being filled with old trunks and dusty boxes.,The main character's name is not specified
What is the capital of France?,The capital of France is a city known for its romantic atmosphere and beautiful art museums. The city is also famous for its fashion designers and delicious cuisine. What is the capital of France?,"Identify the irrelevant context in the prompt: ""The capital of France is a city known for its romantic atmosphere and beautiful art museums. The city is also famous for its fashion designers and delicious cuisine. What is the capital of France?""",The city's romantic atmosphere and beautiful art museums. The city's fashion designers and delicious cuisine.,Paris
Who wrote the famous novel 'To Kill a Mockingbird'?,The famous novel 'To Kill a Mockingbird' was written by an author who grew up in the southern United States and was influenced by the civil rights movement. The author's childhood home is now a museum. What is the author's name?,"Identify the irrelevant context in the prompt: ""The famous novel 'To Kill a Mockingbird' was written by an author who grew up in the southern United States and was influenced by the civil rights movement. The author's childhood home is now a museum. What is the author's name?""",The author's childhood home is now a museum. The author's influence from the civil rights movement.,Harper Lee
What is the largest planet in our solar system?,The largest planet in our solar system is a gas giant known for its distinctive red spot and massive storms. The planet's moons are also of great interest to astronomers. What is the largest planet in our solar system?,"Identify the irrelevant context in the prompt: ""The largest planet in our solar system is a gas giant known for its distinctive red spot and massive storms. The planet's moons are also of great interest to astronomers. What is the largest planet in our solar system?""",The planet's distinctive red spot and massive storms. The planet's moons being of interest to astronomers.,Jupiter
"In the story, a character named Jack discovers a hidden treasure on a deserted island. What does Jack find on the island?","In the story, a character named Jack discovers a hidden treasure on a deserted island. The island is said to have a curse that brings bad luck to those who visit. The island's sandy beaches and crystal-clear waters make it a perfect spot for relaxation. What does Jack find on the island?","Identify the irrelevant context in the prompt: ""In the story, a character named Jack discovers a hidden treasure on a deserted island. The island is said to have a curse that brings bad luck to those who visit. The island's sandy beaches and crystal-clear waters make it a perfect spot for relaxation. What does Jack find on the island?""",The island's curse and its effects on visitors. The island's sandy beaches and crystal-clear waters.,Jack finds a hidden treasure
What is the chemical symbol for gold?,The chemical symbol for gold is a symbol that has been used for centuries and is often associated with wealth and luxury. The symbol is also used in jewelry and coins. What is the chemical symbol for gold?,"Identify the irrelevant context in the prompt: ""The chemical symbol for gold is a symbol that has been used for centuries and is often associated with wealth and luxury. The symbol is also used in jewelry and coins. What is the chemical symbol for gold?""",The symbol's association with wealth and luxury. The symbol's use in jewelry and coins.,Au
Who is the main character in the story of a boy who learns to play the guitar?,The main character in the story of a boy who learns to play the guitar is a young boy who loves music and has a passion for rock and roll. The boy's favorite musician is a famous guitarist who has won numerous awards. What is the main character's name?,"Identify the irrelevant context in the prompt: ""The main character in the story of a boy who learns to play the guitar is a young boy who loves music and has a passion for rock and roll. The boy's favorite musician is a famous guitarist who has won numerous awards. What is the main character's name?""",The boy's love for rock and roll. The boy's favorite musician and their awards.,The main character's name is not specified
What is the largest living species of lizard?,The largest living species of lizard is a reptile that is known for its intelligence and can be found in the wild in certain parts of the world. The lizard's habitat is being threatened by deforestation and hunting. What is the largest living species of lizard?,"Identify the irrelevant context in the prompt: ""The largest living species of lizard is a reptile that is known for its intelligence and can be found in the wild in certain parts of the world. The lizard's habitat is being threatened by deforestation and hunting. What is the largest living species of lizard?""",The lizard's intelligence. The lizard's habitat being threatened by deforestation and hunting.,Komodo dragon
Who wrote the famous play 'Romeo and Juliet'?,The famous play 'Romeo and Juliet' was written by a playwright who is known for his works on love and tragedy. The playwright's other famous works include 'Hamlet' and 'Macbeth'. What is the playwright's name?,"Identify the irrelevant context in the prompt: ""The famous play 'Romeo and Juliet' was written by a playwright who is known for his works on love and tragedy. The playwright's other famous works include 'Hamlet' and 'Macbeth'. What is the playwright's name?""",The playwright's other famous works. The playwright's focus on love and tragedy.,William Shakespeare
What is the smallest country in the world?,The smallest country in the world is a nation that is known for its rich history and is home to numerous famous landmarks. The country's capital is also its largest city. What is the smallest country in the world?,"Identify the irrelevant context in the prompt: ""The smallest country in the world is a nation that is known for its rich history and is home to numerous famous landmarks. The country's capital is also its largest city. What is the smallest country in the world?""",The country's rich history and famous landmarks. The country's capital being its largest city.,Vatican City
