domain,clean_prompt,irrelevant_context,expected_answer
fictional stories,The haunted house in the story was built on an ancient burial ground. Where was the haunted house built?,The haunted house in the story was built on an ancient burial ground. The house has 13 rooms and staircases that lead to nowhere. Previous owners have reported hearing whispers in languages that haven't been spoken for centuries,The haunted house was built on an ancient burial ground.
general knowledge,What were the main causes of World War I?,The war lasted from July 1914 to November 1918. The Treaty of Versailles formally ended the state of war between Germany and the Allied Powers.,"The main causes of WWI were militarism, alliances, imperialism, and nationalism."
fictional stories,"In the fable, the wise turtle wins the race by maintaining a steady pace while the rabbit takes a nap. Who wins the race in the fable?","In the fable, the wise turtle wins the race by maintaining a steady pace while the rabbit takes a nap. The race course spans three mountains and two rivers. All the forest animals gathered to watch this legendary competition.",The wise turtle wins the race by maintaining a steady pace while the rabbit takes a nap.
general knowledge,How does the human immune system fight infections?,How does the human immune system fight infections? The thymus gland is largest during childhood and gradually shrinks with age. Antibodies are Y-shaped proteins produced by specialized white blood cells.,The immune system fights infections through white blood cells that attack pathogens and produce antibodies.
fictional stories,"In the fantasy series, the magical sword can only be wielded by the true heir to the throne. What is special about the magical sword?","In the fantasy series, the magical sword can only be wielded by the true heir to the throne. The kingdom has been at war for centuries with neighboring realms. The sword was forged from a fallen star by ancient elven smiths.",The magical sword can only be wielded by the true heir to the throne.
fictional stories,"In the children's book, the magical umbrella transports the user to whatever location is pictured on its canopy. What does the magical umbrella do?","In the children's book, the magical umbrella transports the user to whatever location is pictured on its canopy. The umbrella once belonged to a famous explorer who visited every continent. The illustrations on the umbrella change based on the current owner's deepest wishes. What does the magical umbrella do?",The magical umbrella transports the user to the location pictured on its canopy.
fictional stories,The haunted house in the story was built on an ancient burial ground. Where was the haunted house built?,The haunted house in the story was built on an ancient burial ground. The house has 13 rooms and staircases that lead to nowhere. Previous owners have reported hearing whispers in languages that haven't been spoken for centuries.,The haunted house was built on an ancient burial ground.
general knowledge,What were the main causes of World War I?,What were the main causes of World War I? The war lasted from July 1914 to November 1918. The Treaty of Versailles formally ended the state of war between Germany and the Allied Powers.,"The main causes of WWI were militarism, alliances, imperialism, and nationalism."
general knowledge,"In the story, Sarah discovers a hidden door in her attic that leads to a magical forest. What does Sarah find in the attic?","In the story, Sarah discovers a hidden door in her attic that leads to a magical forest. Sarah's grandmother had told her stories about enchanted realms when she was younger. The magical forest is known for its talking animals and ever-changing seasons.",Sarah finds a hidden door in the attic that leads to a magical forest.
general knowledge,"In the fantasy series, the magical sword can only be wielded by the true heir to the throne. What is special about the magical sword?","In the fantasy series, the magical sword can only be wielded by the true heir to the throne. The kingdom has been at war for centuries with neighboring realms. The sword was forged from a fallen star by ancient elven smiths.",The magical sword can only be wielded by the true heir to the throne.
general knowledge,"In the children's book, the magical umbrella transports the user to whatever location is pictured on its canopy. What does the magical umbrella do?","In the children's book, the magical umbrella transports the user to whatever location is pictured on its canopy. The umbrella once belonged to a famous explorer who visited every continent. The illustrations on the umbrella change based on the current owner's deepest wishes.",The magical umbrella transports the user to the location pictured on its canopy.
